TABLE_NAME	TABLE_ROWS	size_mb
ost_api_key	0	0.05
ost_attachment	12	0.05
ost_canned_response	2	0.06
ost_config	98	0.03
ost_content	13	0.03
ost_department	2	0.09
ost_draft	0	0.05
ost_email	3	0.06
ost_email_account	0	0.05
ost_email_template	19	0.03
ost_email_template_group	0	0.02
ost_event	21	0.03
ost_faq	0	0.06
ost_faq_category	0	0.03
ost_faq_topic	0	0.02
ost_file	2	0.11
ost_file_chunk	2	0.03
ost_filter	0	0.05
ost_filter_action	0	0.03
ost_filter_rule	0	0.05
ost_form	6	0.03
ost_form_entry	6	0.03
ost_form_entry_values	9	0.02
ost_form_field	20	0.05
ost_group	0	0.03
ost_help_topic	4	0.13
ost_help_topic_form	3	0.03
ost_list	0	0.03
ost_list_items	0	0.03
ost_lock	0	0.03
ost_note	0	0.03
ost_organization	0	0.02
ost_organization__cdata	0	0.02
ost_plugin	0	0.03
ost_plugin_instance	0	0.03
ost_queue	14	0.05
ost_queue_column	14	0.02
ost_queue_columns	77	0.02
ost_queue_config	0	0.02
ost_queue_export	0	0.03
ost_queue_sort	7	0.02
ost_queue_sorts	73	0.02
ost_role	4	0.03
ost_schedule	4	0.02
ost_schedule_entry	16	0.05
ost_sequence	2	0.02
ost_session	241	0.13
ost_sla	0	0.03
ost_staff	0	0.09
ost_staff_dept_access	2	0.03
ost_syslog	4	0.03
ost_task	0	0.11
ost_task__cdata	0	0.02
ost_team	0	0.05
ost_team_member	0	0.03
ost_thread	2	0.05
ost_thread_collaborator	0	0.05
ost_thread_entry	2	0.08
ost_thread_entry_email	0	0.06
ost_thread_entry_merge	0	0.03
ost_thread_event	2	0.05
ost_thread_referral	0	0.05
ost_ticket	2	0.19
ost_ticket_priority	4	0.06
ost_ticket_status	5	0.05
ost_ticket__cdata	2	0.02
ost_translation	0	0.05
ost_user	1	0.06
ost_user_account	0	0.05
ost_user_email	2	0.05
ost_user__cdata	0	0.02
ost__search	8	0.05
